,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
610,,,,2021-06-08 05:37:00,10,
611,,,,2021-06-08 05:53:00,12,
612,,,,2021-06-08 06:09:00,10,
613,,,,2021-06-08 06:26:00,10,
614,,,,2021-06-08 06:42:00,9,
615,,,,2021-06-08 06:58:00,13,
616,,,,2021-06-08 07:15:00,9,
617,,,,2021-06-08 07:31:00,10,
618,,,,2021-06-08 07:47:00,9,
619,,,,2021-06-08 08:04:00,11,
620,,,,2021-06-08 08:20:00,8,
621,,,,2021-06-08 08:36:00,8,
622,,,,2021-06-08 08:52:00,9,
623,,,,2021-06-08 09:09:00,11,
624,,,,2021-06-08 09:25:00,11,
625,,,,2021-06-08 09:41:00,7,
626,,,,2021-06-08 09:58:00,8,
627,,,,2021-06-08 10:16:00,14,
628,,,,2021-06-08 10:30:00,9,
629,,,,2021-06-08 10:47:00,15,
630,,,,2021-06-08 11:03:00,13,
631,,,,2021-06-08 11:19:00,11,
